Title,Genre,Summary
Elden Ring,1,"the game is a fantasy, action and open world game with elements such as stats, weapons and spells. rise, tarnished, and be guided by grace to brandish the power of the the game and become an elden lord in the lands between. "
Elden Ring,2,"the game is a fantasy, action and open world game with elements such as stats, weapons and spells. rise, tarnished, and be guided by grace to brandish the power of the the game and become an elden lord in the lands between. "
Hades,1,"a hack and slash dungeon crawler in which zagreus, son of the game the greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the underworld, while getting to know and forging relationships with its inhabitants. "
Hades,3,"a hack and slash dungeon crawler in which zagreus, son of the game the greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the underworld, while getting to know and forging relationships with its inhabitants. "
Hades,4,"a hack and slash dungeon crawler in which zagreus, son of the game the greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the underworld, while getting to know and forging relationships with its inhabitants. "
Hades,2,"a hack and slash dungeon crawler in which zagreus, son of the game the greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the underworld, while getting to know and forging relationships with its inhabitants. "
The Legend of Zelda: Breath of the Wild,1,"the game is the first 3d game in the zelda series. link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. unlike many games in the series,video game does not impose a specific order in which quests or dungeons must be completed. while the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. a lot of critics rankedvideo game as one of the best video games of all time. "
The Legend of Zelda: Breath of the Wild,2,"the game is the first 3d game in the zelda series. link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. unlike many games in the series,video game does not impose a specific order in which quests or dungeons must be completed. while the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. a lot of critics rankedvideo game as one of the best video games of all time. "
Undertale,1,"a small child falls into the underground, where monsters have long been banished by humans and are hunting every human that they find. the player controls the child as they try to make it back to the surface through hostile environments, all the while engaging with a combat system with and bullet hell elements, as well as other unconventional game mechanics. "
Undertale,4,"a small child falls into the underground, where monsters have long been banished by humans and are hunting every human that they find. the player controls the child as they try to make it back to the surface through hostile environments, all the while engaging with a combat system with and bullet hell elements, as well as other unconventional game mechanics. "
Undertale,2,"a small child falls into the underground, where monsters have long been banished by humans and are hunting every human that they find. the player controls the child as they try to make it back to the surface through hostile environments, all the while engaging with a combat system with and bullet hell elements, as well as other unconventional game mechanics. "
Undertale,5,"a small child falls into the underground, where monsters have long been banished by humans and are hunting every human that they find. the player controls the child as they try to make it back to the surface through hostile environments, all the while engaging with a combat system with and bullet hell elements, as well as other unconventional game mechanics. "
Hollow Knight,1,"a 2d metroidvania with an emphasis on close combat and exploration in which the player enters the insect kingdom of hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing areas. "
Hollow Knight,4,"a 2d metroidvania with an emphasis on close combat and exploration in which the player enters the insect kingdom of hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing areas. "
